station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ALO,2022-01-01 00:54,26.10,19.90,77.06,350.00,14.00,0.00,29.80,1010.30,9.00,M,BKN,OVC,M,M,1600.00,2300.00,M,M,M,M,M,M,26.00,340.00,2021-12-31 23:59,13.56,KALO 010054Z 35014KT 9SM BKN016 OVC023 M03/M07 A2980 RMK AO2 PK WND 34026/2359 SLP103 T10331067 $,M
ALO,2022-01-01 01:54,23.00,17.10,77.77,350.00,15.00,0.00,29.82,1010.90,8.00,M,SCT,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,9.11,KALO 010154Z 35015KT 8SM SCT021 M05/M08 A2982 RMK AO2 SLP109 T10501083 $,M
ALO,2022-01-01 02:54,19.90,14.00,77.48,340.00,14.00,0.00,29.84,1011.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5.57,KALO 010254Z AUTO 34014KT 10SM CLR M07/M10 A2984 RMK AO2 PRESRR SLP118 T10671100 51031 $,M
ALO,2022-01-01 03:54,16.00,10.00,76.77,350.00,12.00,0.00,29.86,1012.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.64,KALO 010354Z AUTO 35012KT 10SM CLR M09/M12 A2986 RMK AO2 SLP123 T10891122 $,M
ALO,2022-01-01 04:54,14.00,8.10,76.92,340.00,14.00,0.00,29.89,1013.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-2.04,KALO 010454Z AUTO 34014KT 10SM CLR M10/M13 A2989 RMK AO2 SLP134 T11001133 $,M
ALO,2022-01-01 05:54,12.90,6.10,73.74,320.00,10.00,0.00,29.94,1015.10,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.98,KALO 010554Z AUTO 32010G23KT 10SM CLR M11/M14 A2994 RMK AO2 SLP151 T11061144 11022 21106 410111106 53031 $,M
ALO,2022-01-01 06:54,10.90,5.00,76.62,340.00,14.00,0.00,29.92,1014.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-6.04,KALO 010654Z AUTO 34014KT 10SM CLR M12/M15 A2992 RMK AO2 SLP147 T11171150 $,M
ALO,2022-01-01 07:54,10.00,3.00,72.75,340.00,14.00,0.00,29.96,1016.00,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,26.00,340.00,2022-01-01 07:03,-7.20,KALO 010754Z AUTO 34014G23KT 10SM CLR M12/M16 A2996 RMK AO2 PK WND 34026/0703 SLP160 T11221161 $,M
ALO,2022-01-01 08:54,8.10,1.00,72.20,350.00,17.00,0.00,29.95,1015.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-11.24,KALO 010854Z AUTO 35017KT 10SM CLR M13/M17 A2995 RMK AO2 PRESFR SLP156 T11331172 50004 $,M
ALO,2022-01-01 09:54,8.10,0.00,68.90,360.00,10.00,0.00,29.98,1016.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-7.00,KALO 010954Z AUTO 36010KT 10SM CLR M13/M18 A2998 RMK AO2 SLP166 T11331178 $,M
